python_spike_time_s,cadence_spike_time_s,timing_error_s,timing_error_ms
0.001,0.0009386291897957,6.137081020430007e-05,0.06137081020430007
0.002,0.0019671567838817,3.284321611830019e-05,0.032843216118300184
0.003,0.0029956838141042,4.316185895799924e-06,0.004316185895799924
0.0041,0.0040240628860815,7.593711391850038e-05,0.07593711391850039
0.0051,0.0050519064474449,4.8093552555100554e-05,0.048093552555100554
0.0061,0.0060804240078053,1.9575992194700506e-05,0.019575992194700506
0.0071,0.0071089815636364,-8.981563636399625e-06,-0.008981563636399625
0.0082,0.0081375336601656,6.246633983440081e-05,0.06246633983440081
0.0092,0.0091660868159873,3.3913184012699174e-05,0.033913184012699174
0.0102,0.0101944960201134,5.503979886601132e-06,0.005503979886601132
0.0113,0.0112226312184951,7.736878150489852e-05,0.07736878150489852
0.0123,0.0122507737339665,4.922626603350022e-05,0.04922626603350022
0.0133,0.0132792844472021,2.0715552797898745e-05,0.020715552797898745
0.0143,0.0143076894414912,-7.689441491199461e-06,-0.007689441491199461
0.0154,0.0153362071859533,6.379281404669986e-05,0.06379281404669986
0.0164,0.0163646148106693,3.538518933070278e-05,0.03538518933070278
0.0174,0.0173925181477869,7.481852213098855e-06,0.007481852213098855
0.0185,0.0184210667877527,7.893321224729938e-05,0.07893321224729938
0.0195,0.0194490004314371,5.099956856290111e-05,0.05099956856290111
0.0205,0.020477598496037,2.2401503963001557e-05,0.022401503963001557
0.0215,0.0215059923881664,-5.992388166401602e-06,-0.005992388166401602
0.0226,0.0225344594101458,6.554058985419955e-05,0.06554058985419955
0.0236,0.0235628934490195,3.7106550980499364e-05,0.037106550980499364
0.0246,0.0245914620366654,8.537963334599025e-06,0.008537963334599025
0.0257,0.0256198682664265,8.01317335735012e-05,0.0801317335735012
0.0267,0.0266478424305085,5.215756949150316e-05,0.05215756949150316
0.0277,0.0276762687868933,2.3731213106698013e-05,0.023731213106698013
0.0287,0.028704481166968,-4.4811669679990784e-06,-0.004481166967999078
0.0298,0.0297328657337121,6.71342662879014e-05,0.0671342662879014
0.0308,0.0307610073450761,3.8992654923901415e-05,0.038992654923901415
0.0318,0.0317893442511768,1.0655748823203137e-05,0.010655748823203137
0.0329,0.032817629379877,8.237062012299984e-05,0.08237062012299984
0.0339,0.033846019431558,5.3980568441996946e-05,0.053980568441996946
0.0349,0.0348738873703588,2.6112629641202034e-05,0.026112629641202034
0.0359,0.0359021905119563,-2.1905119562959374e-06,-0.0021905119562959374
0.037,0.0369305792738577,6.942072614229966e-05,0.06942072614229966
0.038,0.0379590595824522,4.094041754779815e-05,0.04094041754779815
0.039,0.0389874691806825,1.2530819317499442e-05,0.012530819317499442
0.0401,0.0400157055303299,8.429446967010007e-05,0.08429446967010007
0.0411,0.041044309531301,5.569046869900035e-05,0.05569046869900035
0.0421,0.0420729067733782,2.7093226621796584e-05,0.027093226621796584
0.0431,0.0431010604518054,-1.0604518054027623e-06,-0.0010604518054027623
0.0442,0.0441293876506692,7.061234933080501e-05,0.07061234933080501
0.0452,0.0451577911975508,4.220880244919928e-05,0.04220880244919928
0.0462,0.0461863792182917,1.3620781708301166e-05,0.013620781708301166
0.0473,0.0472145738753039,8.542612469610023e-05,0.08542612469610023
0.0483,0.0482426781292541,5.7321870745905e-05,0.057321870745905
0.0493,0.0492710834362115,2.8916563788498884e-05,0.028916563788498884
0.0503,0.050299389983853,6.100161469985155e-07,0.0006100161469985155
0.0514,0.0513275921289755,7.240787102449908e-05,0.07240787102449908
0.0524,0.0523560779164408,4.392208355920302e-05,0.04392208355920302
0.0534,0.0533846800265972,1.5319973402802556e-05,0.015319973402802556
0.0545,0.054413294098296,8.670590170400255e-05,0.08670590170400255
0.0555,0.0554417246673231,5.827533267690338e-05,0.05827533267690338
0.0565,0.0564702947712038,2.9705228796202132e-05,0.029705228796202132
0.0575,0.0574988130253816,1.1869746184001162e-06,0.0011869746184001162
0.0586,0.0585272752203772,7.272477962280005e-05,0.07272477962280005
0.0596,0.0595554187692381,4.458123076189757e-05,0.04458123076189757
0.0606,0.0605837654086092,1.62345913908013e-05,0.0162345913908013
0.0617,0.0616119490535424,8.805094645759903e-05,0.08805094645759903
0.0627,0.0626401283698685,5.987163013150554e-05,0.05987163013150554
0.0637,0.0636684991637289,3.1500836271111665e-05,0.031500836271111665
0.0647,0.0646970286918961,2.9713081038940103e-06,0.0029713081038940103
0.0658,0.065725149823748,7.485017625200041e-05,0.07485017625200041
0.0668,0.0667536270128755,4.637298712449611e-05,0.04637298712449611
0.0678,0.067782102325099,1.7897674900999028e-05,0.017897674900999028
0.0689,0.0688102732451153,8.97267548847086e-05,0.0897267548847086
0.0699,0.0698387681066496,6.123189335040247e-05,0.061231893350402467
0.0709,0.0708671974829546,3.280251704540493e-05,0.03280251704540493
0.0719,0.0718957635325943,4.23646740570216e-06,0.00423646740570216
0.073,0.0729243370343134,7.566296568659037e-05,0.07566296568659037
0.074,0.0739527910357319,4.720896426810284e-05,0.04720896426810284
0.075,0.074980863564606,1.913643539400156e-05,0.01913643539400156
0.0761,0.0760093931792769,9.060682072310755e-05,0.09060682072310755
0.0771,0.077037873712718,6.212628728199943e-05,0.062126287281999426
0.0781,0.0780664711111815,3.352888881849592e-05,0.03352888881849592
0.0791,0.0790950146902516,4.985309748406497e-06,0.004985309748406497
0.0802,0.0801236433994648,7.635660053519067e-05,0.07635660053519067
0.0812,0.0811519635915135,4.803640848649593e-05,0.04803640848649593
0.0822,0.0821804791807318,1.952081926819005e-05,0.01952081926819005
0.0832,0.0832087727764816,-8.772776481605349e-06,-0.008772776481605349
0.0843,0.0842370947576565,6.290524234349448e-05,0.06290524234349448
0.0853,0.0852655810592643,3.441894073570595e-05,0.03441894073570595
0.0863,0.0862940625624993,5.93743750069986e-06,0.00593743750069986
0.0874,0.0873225532786141,7.744672138590425e-05,0.07744672138590425
0.0884,0.0883510711468015,4.89288531985016e-05,0.0489288531985016
0.0894,0.0893793952544548,2.060474554518854e-05,0.02060474554518854
0.0904,0.0904078579755203,-7.857975520303428e-06,-0.007857975520303428
0.0915,0.0914363249695821,6.367503041790346e-05,0.06367503041790346
0.0925,0.092464810093849,3.518990615099249e-05,0.03518990615099249
0.0935,0.0934932763030106,6.723696989396899e-06,0.006723696989396899
0.0946,0.0945215306164081,7.846938359190592e-05,0.07846938359190592
0.0956,0.0955493954189953,5.0604581004698446e-05,0.050604581004698446
0.0966,0.0965778814891702,2.2118510829810534e-05,0.022118510829810534
0.0976,0.0976060397058065,-6.039705806495932e-06,-0.006039705806495932
0.0987,0.0986344143285405,6.558567145949212e-05,0.06558567145949212
0.0997,0.0996628974984267,3.710250157329398e-05,0.03710250157329398
